[Name]
Series 1 at /LINE:x4

[Data]
Velocity [ m s^-1 ],Y [ m ]
2.39993464e-02, -6.99999988e-01
5.27252257e-01, -3.99999976e-01
6.73097968e-01, -9.99999642e-02
7.71054089e-01, 2.00000048e-01
8.22686374e-01, 5.00000060e-01
8.25286984e-01, 8.00000072e-01
7.79736996e-01, 1.10000014e+00
6.91235065e-01, 1.40000010e+00
5.64624012e-01, 1.70000005e+00
0.00000000e+00, 2.00000000e+00


