[Name]
Series 1 at /LINE:x5

[Data]
Velocity [ m s^-1 ],Y [ m ]
6.65989239e-03, -4.19999981e+00
1.37756452e-01, -3.51111102e+00
2.25304544e-01, -2.82222223e+00
3.27403158e-01, -2.13333344e+00
4.31127310e-01, -1.44444466e+00
4.77143109e-01, -7.55555809e-01
4.08676833e-01, -6.66669607e-02
3.03973943e-01, 6.22221887e-01
2.05909342e-01, 1.31111073e+00
0.00000000e+00, 1.99999952e+00


