[Name]
Series 1 at /LINE:x2

[Data]
Velocity [ m s^-1 ],Y [ m ]
0.00000000e+00, 0.00000000e+00
8.46943438e-01, 2.22222224e-01
9.30463672e-01, 4.44444448e-01
9.86420751e-01, 6.66666687e-01
1.00404382e+00, 8.88888896e-01
9.99089718e-01, 1.11111116e+00
9.70417976e-01, 1.33333337e+00
9.03465688e-01, 1.55555558e+00
8.12032402e-01, 1.77777779e+00
0.00000000e+00, 2.00000000e+00


