[Name]
Series 1 at /LINE:x3

[Data]
Velocity [ m s^-1 ],Y [ m ]
0.00000000e+00, -2.50000000e+00
2.20675990e-01, -2.00000000e+00
3.44075769e-01, -1.50000000e+00
4.74162161e-01, -1.00000000e+00
5.89146972e-01, -5.00000000e-01
6.19097114e-01, 0.00000000e+00
5.32140911e-01, 5.00000000e-01
4.09406126e-01, 1.00000000e+00
2.83273578e-01, 1.50000000e+00
0.00000000e+00, 2.00000000e+00


