[Name]
Series 1 at /LINE:x2

[Data]
Velocity [ m s^-1 ],Y [ m ]
3.83557081e-02, -6.99999988e-01
6.23329759e-01, -3.99999976e-01
6.94035113e-01, -9.99999642e-02
7.15051949e-01, 2.00000048e-01
7.25291491e-01, 5.00000060e-01
7.30143130e-01, 8.00000072e-01
7.29674876e-01, 1.10000014e+00
7.18998194e-01, 1.40000010e+00
6.67014539e-01, 1.70000005e+00
0.00000000e+00, 2.00000000e+00


