[Name]
Series 1 at /LINE:x1

[Data]
Velocity [ m s^-1 ],Y [ m ]
0.00000000e+00, 0.00000000e+00
9.04777169e-01, 2.22222224e-01
9.27521348e-01, 4.44444448e-01
9.31485653e-01, 6.66666687e-01
9.31100607e-01, 8.88888896e-01
9.28748727e-01, 1.11111116e+00
9.23931360e-01, 1.33333337e+00
9.13372874e-01, 1.55555558e+00
8.81753087e-01, 1.77777779e+00
0.00000000e+00, 2.00000000e+00


