[Name]
Series 1 at /LINE:x3

[Data]
Velocity [ m s^-1 ],Y [ m ]
0.00000000e+00, -2.50000000e+00
2.87451416e-01, -2.00000000e+00
4.00213927e-01, -1.50000000e+00
4.57770765e-01, -1.00000000e+00
4.81674880e-01, -5.00000000e-01
4.88955468e-01, 0.00000000e+00
4.82711315e-01, 5.00000000e-01
4.53729123e-01, 1.00000000e+00
3.68917227e-01, 1.50000000e+00
0.00000000e+00, 2.00000000e+00


